doc;Doc bom dona heloisa eu gostaria de saber 
doc;eh como a senhora entrou pra escola  e com que idade por exemplo
inf;Inf eu entrei com sete anos 
inf;porque  antes disso eu vivi na fazenda 
inf;chegando a sao paulo  eu  fui para um colégio 
inf;de orientação americana e fiz o meu primeiro ano 
inf;foi onde eu aprendi a ler 
inf;e portanto  foi o primeiro contacto com  este tipo de  
inf;eh  vida  porque antes era uma vida de fazenda completamente diferente 
inf;terminado o primeiro ano  eu passei a ter aulas particulares  as  
inf;tive uma professora aliás excelente  com quem  eu pude progredir bastante 
inf;com um ano e meio  de  estudo 
inf;particular  eu já pude entrar  no curso de admissão da escola americana 
inf;que pertencia ao instituto mackenzie 
inf;naquele tempo mackenzie College  
doc;Doc certo agora  depois desse curso  a senhora continuou a estudar certo 
doc;e tem teve uma formação universitária 
doc;gostaria de  que a senhora falasse  os cursos que a senhora fez até então 
inf;Inf terminei todo curso secundário  
inf;no mackenzie  fiz um curso normal do próprio instituto mackenzie 
inf;que era um curso diferente dos nossos aqui do Brasil 
inf;porque era um curso de  americano  em dois anos  
inf;terminado este curso  eu iria começar a ensinar  mas justamente eu tive uma oportunidade excelente no meu último ano de curso normal 
inf;que foi trabalha   trabalhar algumas horas num departamento de atividades extracurriculares
inf;dirigido por dona noemi silveira que havia chegado dos estados unidos 
inf;com idéias completamente novas  e  este 
inf;esta convivência que eu tive com ela 
inf;como secretária dela no departamento de atividades extracurriculares 
foi excelente  me abriu muitos horizontes  e eu vi 
inf;novas possibilidades na minha vida profissional 
inf;lecionei apenas três meses  em na escola primária do  mackenzie mesmo a escola americana 
inf;e  já fui convidada  para  
inf;dirigir a seção feminina do mackenzie e nesta época eu tinha apenas dezessete anos 
inf;comecei a trabalhar  e  quando se fundou  a primeira escola de biblioteconomia 
inf;do brasil  eu entrei para essa escola  e lá fiz o meu curso de bibliotecária 
inf;depois passei a dirigir a biblioteca do mackenzie e 
inf;dirigi durante  vinte e cinco anos  terminado 
inf;eu  me aposentei  mas continuei como supervisora da biblioteca  
inf;onde estou até hoje  
doc;Doc eu gostaria que a senhora ah indicasse a  por que a senhora tem alguns livros publicados né
doc;eu gostaria que a senhora dissesse alguma coisa 
inf;Inf justamente  quando eu terminei a escola  de biblioteconomia 
inf;eu me interessei demais pela profissão 
